   -0.5769363197E-040    0.1260977485E-040
   -0.1283994607E-028   -0.4139501226E-028
   -0.8000376462E-028   -0.2574648821E-027
   -0.2314097622E-027   -0.7389968533E-027
   -0.4941172947E-027   -0.1548807988E-026
   -0.9236438753E-027   -0.2795530644E-026
   -0.1086372389E-026   -0.3095317110E-026
   -0.7142284364E-027   -0.1972948397E-026
   -0.6476060779E-027   -0.1741991564E-026
   -0.6135707203E-027   -0.1610979226E-026
   -0.1135563380E-026   -0.2914668066E-026
   -0.1950309909E-026   -0.4670815714E-026
   -0.2253351903E-026   -0.5013273796E-026
   -0.2556556197E-026   -0.5262474546E-026
   -0.2854633206E-026   -0.5415464261E-026
   -0.3140865782E-026   -0.5471871474E-026
   -0.3407038461E-026   -0.5434121525E-026
   -0.3644089462E-026   -0.5307415530E-026
   -0.3843169535E-026   -0.5099552267E-026
   -0.3996336355E-026   -0.4820659614E-026
   -0.4096580378E-026   -0.4482854860E-026
   -0.4138114339E-026   -0.4099849757E-026
   -0.4117247319E-026   -0.3686486747E-026
   -0.4032830703E-026   -0.3258208794E-026
   -0.3886089237E-026   -0.2830493504E-026
   -0.3680634596E-026   -0.2418271705E-026
   -0.3422669961E-026   -0.2035372788E-026
   -0.3120657189E-026   -0.1694072352E-026
   -0.2784445693E-026   -0.1404764897E-026
   -0.2424659165E-026   -0.1175628093E-026
   -0.2052717629E-026   -0.1012215486E-026
   -0.1681100612E-026   -0.9171098450E-027
   -0.1322933325E-026   -0.8898304542E-027
   -0.9907793514E-027   -0.9270334444E-027
   -0.6958138605E-027   -0.1022811802E-026
   -0.4476574442E-027   -0.1169000982E-026
   -0.2542549892E-027   -0.1355566281E-026
   -0.1215455394E-027   -0.1571101417E-026
   -0.5297100804E-028   -0.1803421101E-026
   -0.4906205329E-028   -0.2040161012E-026
   -0.6136299813E-028   -0.1295697867E-026
   -0.2958856558E-028   -0.5685287127E-027
   -0.6871013567E-028   -0.1049503330E-026
   -0.1367226891E-027   -0.1523354495E-026
   -0.2580233719E-027   -0.2019317952E-026
   -0.4625301370E-027   -0.2538618181E-026
   -0.7832855880E-027   -0.3063356143E-026
   -0.1251111258E-026   -0.3555333605E-026
   -0.1887405912E-026   -0.3955397320E-026
   -0.2691056837E-026   -0.4187537394E-026
   -0.3622529174E-026   -0.4169708865E-026
   -0.4601413192E-026   -0.3828930058E-026
   -0.5513626048E-026   -0.3120467018E-026
   -0.6217980491E-026   -0.2050211281E-026
   -0.6558111082E-026   -0.6929814783E-027
   -0.6439037713E-026    0.8127675374E-027
   -0.5793654109E-026    0.2264500426E-026
   -0.4663423521E-026    0.3445079328E-026
   -0.3195638222E-026    0.4174734552E-026
