     0.000100000     1.522356352090526E-09      1.484682509165948E-07     -3.044713058866950E-08     -2.969365018313825E-06 
     0.000145635     2.665627163445095E-09      2.157549840353711E-07     -5.331254659623704E-08     -4.315099680720399E-06 
     0.000212095     4.663894159762094E-09      3.133947277953735E-07     -9.327788429071976E-08     -6.267894555932543E-06 
     0.000308884     8.152583386156209E-09      4.549718142352205E-07     -1.630516645118800E-07     -9.099436284761887E-06 
     0.000449843     1.423495232799610E-08      6.600678409796945E-07     -2.846990424884175E-07     -1.320135681969219E-05 
     0.000655129     2.482166516770690E-08      9.568463089403257E-07     -4.964332968388418E-07     -1.913692617900307E-05 
     0.000954095     4.321150715025368E-08      1.385702591439679E-06     -8.642301297872397E-07     -2.771405182929907E-05 
     0.001389495     7.507866506273331E-08      2.004380596945334E-06     -1.501573264813872E-06     -4.008761194027402E-05 
     0.002023590     1.301391993058232E-07      2.895078858077923E-06     -2.602783911641966E-06     -5.790157716512609E-05 
     0.002947052     2.249393155073776E-07      4.174202201606910E-06     -4.498786152879689E-06     -8.348404404078425E-05 
     0.004291934     3.874704390671724E-07      6.005538046696140E-06     -7.749408438549946E-06     -1.201107609556170E-04 
     0.006250552     6.647070789345122E-07      8.617700729772292E-06     -1.329414087439598E-05     -1.723540146496821E-04 
     0.009102982     1.134718251250000E-06      1.232660385832640E-05     -2.269436356021294E-05     -2.465320773013737E-04 
     0.013257114     1.925736713315196E-06      1.756334055452243E-05     -3.851473122936820E-05     -3.512668114236425E-04 
     0.019306977     3.245437525389860E-06      2.490695194911613E-05     -6.490874423635681E-05     -4.981390397994887E-04 
     0.028117687     5.424507501738951E-06      3.511985873456497E-05     -1.084901371494113E-04     -7.023971766813310E-04 
     0.040949151     8.978997638631192E-06      4.918093455761666E-05     -1.795799264969304E-04     -9.836186959501073E-04 
     0.059636233     1.469528512765272E-05      6.830719624574636E-05     -2.939056494016528E-04     -1.366143936350318E-03 
     0.086851137     2.373886260953473E-05      9.395020182885244E-05     -4.747771457249503E-04     -1.879004063479670E-03 
     0.126485522     3.778288578815125E-05      1.277485506833510E-04     -7.556575049249645E-04     -2.554971076024521E-03 
     0.184206997     5.914456400823997E-05      1.714151879639352E-04     -1.182890868158568E-03     -3.428303901436732E-03 
     0.268269580     9.090888907292705E-05      2.265393312626376E-04     -1.818176988473362E-03     -4.530786943473404E-03 
     0.390693994     1.370134917441090E-04      2.942877422872297E-04     -2.740268334650731E-03     -5.885755544219958E-03 
     0.568986603     2.022691372762786E-04      3.749947860599728E-04     -4.045379961470802E-03     -7.499897222897036E-03 
     0.828642773     2.922966484576461E-04      4.676269862667245E-04     -5.845927913030142E-03     -9.352542885735036E-03 
     1.206792641     4.133626111658684E-04      5.690867235205875E-04     -8.267243262210672E-03     -1.138174097941952E-02 
     1.757510625     5.720709709614580E-04      6.732792798114545E-04     -1.144140397934496E-02     -1.346559871517221E-02 
     2.559547923     7.747820323966703E-04      7.698206973203526E-04     -1.549561493784729E-02     -1.539643982220795E-02 
     3.727593720     1.026437313150996E-03      8.422498931232648E-04     -2.052870529734385E-02     -1.684504778677094E-02 
     5.428675439     1.328099416581963E-03      8.657237027634586E-04     -2.656192700861437E-02     -1.731456813054991E-02 
     7.906043211     1.671893999085627E-03      8.046719192312977E-04     -3.343779697218680E-02     -1.609361085678380E-02 
    11.513953993     2.031263720129406E-03      6.124189528123156E-04     -4.062518239539685E-02     -1.224868422625901E-02 
    16.768329368     2.344640814540888E-03      2.386579196440100E-04     -4.689276407440845E-02     -4.773671392533013E-03 
    24.420530945     2.496565037542142E-03     -3.422442421698894E-04     -4.993140980754314E-02      6.844089327891351E-03 
    35.564803062     2.322818181037523E-03     -1.067214224107582E-03     -4.645685887399599E-02      2.134320656461075E-02 
    51.794746792     1.701203771602433E-03     -1.711713403436461E-03     -3.402523226483108E-02      3.423311835450535E-02 
    75.431200634     7.364467062813684E-04     -1.946053687223370E-03     -1.473084952057702E-02      3.892034892188534E-02 
   109.854114199    -1.906817150858497E-04     -1.610677884971986E-03      3.811325561176859E-03      3.221383105612119E-02 
   159.985871961    -7.022486332445288E-04     -9.007168678853549E-04      1.404309242354917E-02      1.801580336190486E-02 
   232.995181052    -6.964707788550406E-04     -1.984156222267427E-04      1.392881242543464E-02      3.970429852382606E-03 
   339.322177190    -3.625542919718505E-04      1.851657496531219E-04      7.251905741609832E-03     -3.701709804099507E-03 
   494.171336132    -3.830338804944322E-05      1.936864993813021E-04      7.673166774379570E-04     -3.873483087339979E-03 
   719.685673001     6.233092665097750E-05      4.964304496327121E-05     -1.246152410532386E-03     -9.934462690689427E-04 
  1048.113134155     2.041615498904470E-05     -1.551698382391137E-05     -4.085353488358923E-04      3.100604947051666E-04 
  1526.417967175    -3.921787422034306E-06     -4.894914469033562E-06      7.833827216130462E-05      9.797641943165569E-05 
  2222.996482526    -5.668874508701904E-07      9.457797654835454E-07      1.136518726219116E-05     -1.889916019714999E-05 
  3237.457542818     1.272066481039502E-07     -2.759717618316948E-08     -2.545301056366966E-06      5.465704331353294E-07 
  4714.866363457    -9.429766634205805E-09     -1.165061797037126E-09      1.885240223931106E-07      2.388140507569858E-08 
  6866.488450043     3.854806474024031E-10     -4.667388697754404E-11     -7.713824690114279E-09      8.989442523699154E-10 
 10000.000000000    -3.826050587463214E-12      6.888975501162520E-12      7.742095853302544E-11     -1.372819635747646E-10 
