  -0.1126061119E-005     0.2035370720E-005     0.5349158417E-007    -0.1410642637E-007
  -0.2184578142E-005     0.2212765219E-005     0.7303704817E-007    -0.6492910397E-008
  -0.3491989297E-005     0.2173573514E-005     0.1011146691E-006     0.1368562397E-007
  -0.5044667565E-005     0.1810890812E-005     0.9697017349E-007     0.3480262880E-007
  -0.6875999923E-005     0.8762772069E-006     0.1130755273E-006     0.7883942097E-007
  -0.9153003093E-005    -0.1245640187E-005     0.1338288426E-006     0.1495546710E-006
  -0.1131529116E-004    -0.4519581764E-005     0.1292177491E-006     0.2456590550E-006
  -0.1339509313E-004    -0.9683340037E-005     0.1252177042E-006     0.3975046509E-006
  -0.1467621357E-004    -0.1650514671E-004     0.3997053572E-007     0.5315176298E-006
  -0.1444805014E-004    -0.2658026240E-004    -0.8146352949E-007     0.6196211321E-006
  -0.1086604168E-004    -0.4053823751E-004    -0.2844624135E-006     0.8577094805E-006
  -0.3471771156E-005    -0.5647979231E-004    -0.7119653328E-006     0.1248673361E-005
   0.1040748673E-004    -0.7703542931E-004    -0.9742081167E-006     0.1262489156E-005
   0.3600832105E-004    -0.1036707059E-003    -0.2201985775E-005     0.1902243235E-005
   0.6908223811E-004    -0.1276655504E-003    -0.2127028701E-005     0.1255578199E-005
   0.1199748740E-003    -0.1495598915E-003    -0.3817234352E-005     0.1254886856E-005
   0.2012135179E-003    -0.1661733265E-003    -0.6101866824E-005     0.6815322862E-006
   0.3099659433E-003    -0.1661416802E-003    -0.7402589282E-005    -0.6865684890E-006
   0.4822680504E-003    -0.1347798762E-003    -0.1117376053E-004    -0.2804811490E-005
   0.6894755527E-003    -0.6242461332E-004    -0.1723130403E-004    -0.7835636144E-005
   0.9642559105E-003     0.8750734180E-004    -0.1884371315E-004    -0.1249303957E-004
   0.1290265977E-002     0.3492002946E-003    -0.2204052296E-004    -0.2052215814E-004
   0.1720659091E-002     0.8066305082E-003    -0.2433293643E-004    -0.2882482591E-004
   0.2235133882E-002     0.1505584265E-002    -0.3490014530E-004    -0.5337734495E-004
   0.2773053734E-002     0.2480601074E-002    -0.3164297372E-004    -0.6612503572E-004
   0.3452118172E-002     0.4105125313E-002    -0.3334805527E-004    -0.9574295856E-004
   0.4075473959E-002     0.6259824124E-002    -0.4177099564E-004    -0.1712809804E-003
   0.4675998873E-002     0.8959145980E-002    -0.3086900347E-004    -0.1513106188E-003
   0.5310578198E-002     0.1229117826E-001    -0.2486364911E-004    -0.1574685117E-003
   0.5820337599E-002     0.1529602573E-001    -0.2977572726E-004    -0.1644276948E-003
   0.6482654514E-002     0.1863833623E-001    -0.3493086917E-004    -0.1692971762E-003
   0.6954338807E-002     0.2158155603E-001    -0.2717321810E-004    -0.1659443061E-003
   0.7315299239E-002     0.2376727605E-001    -0.1981862423E-004    -0.1278087486E-003
   0.7598871856E-002     0.2523561059E-001    -0.2119388592E-004    -0.6131329316E-004
   0.7971233324E-002     0.2586673238E-001    -0.2088607298E-004    -0.1548177818E-004
   0.8142366300E-002     0.2578193685E-001     0.5535619176E-005     0.2459172266E-004
   0.7841861876E-002     0.2507088767E-001     0.2686870775E-004     0.6566443575E-004
   0.7433784681E-002     0.2357967174E-001     0.4184231633E-004     0.1234457731E-003
   0.6778859293E-002     0.2136048946E-001     0.3349246210E-004     0.1421172066E-003
   0.6243298636E-002     0.1863407514E-001     0.2595265883E-004     0.1651181663E-003
   0.5880348804E-002     0.1512246146E-001     0.2559425717E-004     0.1901999832E-003
   0.5405727518E-002     0.1199655245E-001     0.2672928755E-004     0.1525203915E-003
   0.4766745964E-002     0.9016791134E-002     0.4183842939E-004     0.1670944715E-003
   0.4092542846E-002     0.6586906758E-002     0.4595916635E-004     0.1447542914E-003
   0.3292447957E-002     0.4214638605E-002     0.4457167649E-004     0.1260735872E-003
   0.2639300875E-002     0.2497530545E-002     0.4048920317E-004     0.9321607129E-004
   0.2095698006E-002     0.1440431664E-002     0.3179303519E-004     0.5133654709E-004
   0.1636701007E-002     0.7867979328E-003     0.2118188037E-004     0.2584028651E-004
   0.1277103015E-002     0.3976423287E-003     0.1772075994E-004     0.1652868956E-004
   0.9771278600E-003     0.1536152133E-003     0.1946944648E-004     0.1411093669E-004
   0.7290147335E-003    -0.4048693601E-006     0.1483757774E-004     0.7324301094E-005
   0.5296637798E-003    -0.8023479823E-004     0.1121110866E-004     0.3607776500E-005
   0.3510806507E-003    -0.1279516680E-003     0.8038824685E-005     0.1596801072E-005
   0.2330431915E-003    -0.1434724179E-003     0.6271318775E-005     0.2003955553E-006
   0.1452011866E-003    -0.1397487195E-003     0.4451341424E-005    -0.5366332865E-006
   0.8456569456E-004    -0.1276575794E-003     0.2546414216E-005    -0.8832561964E-006
   0.4266019672E-004    -0.1083066082E-003     0.3009585928E-005    -0.1685945322E-005
   0.9427692341E-005    -0.8622006545E-004     0.1147536092E-005    -0.1002049439E-005
  -0.7362415988E-005    -0.6659963271E-004     0.9130461323E-006    -0.1403172761E-005
  -0.1696410513E-004    -0.4703996912E-004     0.3595650416E-006    -0.1021281677E-005
  -0.2061342688E-004    -0.3077423298E-004     0.5613136599E-007    -0.6321526123E-006
  -0.2051922487E-004    -0.1875937113E-004    -0.7043587347E-007    -0.6506682814E-006
  -0.1862274062E-004    -0.1043921067E-004    -0.1707612843E-006    -0.4406559141E-006
  -0.1572062593E-004    -0.4832195138E-005    -0.1847118296E-006    -0.2591808492E-006
  -0.1242667074E-004    -0.1194355216E-005    -0.2058809705E-006    -0.1708394158E-006
  -0.9059134507E-005     0.1255561667E-005    -0.1538349991E-006    -0.8812484487E-007
  -0.6365932959E-005     0.2462666190E-005    -0.1524987796E-006    -0.5356200675E-007
  -0.4307700544E-005     0.2974419416E-005    -0.1211430049E-006    -0.1605345005E-007
  -0.2760033517E-005     0.3002278352E-005    -0.8022171270E-007     0.1086412786E-007
  -0.1612975632E-005     0.2720956562E-005    -0.5626140338E-007     0.2082055835E-007
  -0.8193353268E-006     0.2302646177E-005    -0.3627026669E-007     0.2442126288E-007
  -0.2120666467E-006     0.1829346238E-005    -0.3175298908E-007     0.3100615111E-007
   0.1661328304E-006     0.1383394384E-005    -0.1878916715E-007     0.2776104095E-007
   0.3659730549E-006     0.9742175257E-006    -0.7683843197E-008     0.2252127749E-007
   0.4259649107E-006     0.6599034164E-006    -0.1304408137E-008     0.1715653691E-007
   0.4223197769E-006     0.3986373100E-006     0.1768448560E-008     0.1477773613E-007
   0.3803964454E-006     0.2058983761E-006     0.3462209152E-008     0.1009583563E-007
   0.3110167761E-006     0.7483509518E-007     0.5366971732E-008     0.7290286267E-008
